ODATEDW	Num
OSOURCE	Char
TCODE	Num
STATE	Char
ZIP	Char
MAILCODE	Char
PVASTATE	Char
DOB	Num
NOEXCH	Char
RECINHSE	Char
RECP3	Char
RECPGVG	Char
RECSWEEP	Char
MDMAUD	Char
DOMAIN	Char
CLUSTER	Char
AGE	Num
AGEFLAG	Char
HOMEOWNR	Char
CHILD03	Char
CHILD07	Char
CHILD12	Char
CHILD18	Char
NUMCHLD	Num
INCOME	Num
GENDER	Char
WEALTH1	Num
HIT	Num
MBCRAFT	Num
MBGARDEN	Num
MBBOOKS	Num
MBCOLECT	Num
MAGFAML	Num
MAGFEM	Num
MAGMALE	Num
PUBGARDN	Num
PUBCULIN	Num
PUBHLTH	Num
PUBDOITY	Num
PUBNEWFN	Num
PUBPHOTO	Num
PUBOPP	Num
DATASRCE	Char
MALEMILI	Num
MALEVET	Num
VIETVETS	Num
WWIIVETS	Num
LOCALGOV	Num
STATEGOV	Num
FEDGOV	Num
SOLP3	Char
SOLIH	Char
MAJOR	Char
WEALTH2	Num
GEOCODE	Char
COLLECT1	Char
VETERANS	Char
BIBLE	Char
CATLG	Char
HOMEE	Char
PETS	Char
CDPLAY	Char
STEREO	Char
PCOWNERS	Char
PHOTO	Char
CRAFTS	Char
FISHER	Char
GARDENIN	Char
BOATS	Char
WALKER	Char
KIDSTUFF	Char
CARDS	Char
PLATES	Char
LIFESRC	Char
PEPSTRFL	Char
POP901	Num
POP902	Num
POP903	Num
POP90C1	Num
POP90C2	Num
POP90C3	Num
POP90C4	Num
POP90C5	Num
ETH1	Num
ETH2	Num
ETH3	Num
ETH4	Num
ETH5	Num
ETH6	Num
ETH7	Num
ETH8	Num
ETH9	Num
ETH10	Num
ETH11	Num
ETH12	Num
ETH13	Num
ETH14	Num
ETH15	Num
ETH16	Num
AGE901	Num
AGE902	Num
AGE903	Num
AGE904	Num
AGE905	Num
AGE906	Num
AGE907	Num
CHIL1	Num
CHIL2	Num
CHIL3	Num
AGEC1	Num
AGEC2	Num
AGEC3	Num
AGEC4	Num
AGEC5	Num
AGEC6	Num
AGEC7	Num
CHILC1	Num
CHILC2	Num
CHILC3	Num
CHILC4	Num
CHILC5	Num
HHAGE1	Num
HHAGE2	Num
HHAGE3	Num
HHN1	Num
HHN2	Num
HHN3	Num
HHN4	Num
HHN5	Num
HHN6	Num
MARR1	Num
MARR2	Num
MARR3	Num
MARR4	Num
HHP1	Num
HHP2	Num
DW1	Num
DW2	Num
DW3	Num
DW4	Num
DW5	Num
DW6	Num
DW7	Num
DW8	Num
DW9	Num
HV1	Num
HV2	Num
HV3	Num
HV4	Num
HU1	Num
HU2	Num
HU3	Num
HU4	Num
HU5	Num
HHD1	Num
HHD2	Num
HHD3	Num
HHD4	Num
HHD5	Num
HHD6	Num
HHD7	Num
HHD8	Num
HHD9	Num
HHD10	Num
HHD11	Num
HHD12	Num
ETHC1	Num
