0.96296296	0.037037037
0.92592593	0.074074074
0.88888889	0.11111111
0.85185185	0.14814815
0.81481481	0.18518519
0.77777778	0.22222222
0.74074074	0.25925926
0.7037037	0.2962963
0.66666667	0.33333333
0.62962963	0.37037037
0.59259259	0.40740741
0.55555556	0.44444444
0.51851852	0.48148148
0.48148148	0.51851852
0.44444444	0.55555556
0.40740741	0.59259259
0.37037037	0.62962963
0.33333333	0.66666667
0.2962963	0.7037037
0.25925926	0.74074074
0.22222222	0.77777778
0.18518519	0.81481481
0.14814815	0.85185185
0.11111111	0.88888889
0.074074074	0.92592593
0.037037037	0.96296296
